VIN (1-10),County,City,State,Postal Code,Year,Make,Model,Type,Eligibility,Range,MSRP,Vehicle Location,longitude,latitude
5UXKT0C53J,Pierce,Tacoma,WA,98404,2018,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,13,0,POINT (-122.4096963 47.2174975),-122.4096963,47.2174975
2C4RC1N75L,Pierce,Bonney Lake,WA,98391,2020,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,POINT (-122.183805 47.18062),-122.183805,47.18062
YV4ED3GB4N,King,Bellevue,WA,98008,2022,VOLVO,C40,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.11832 47.6245),-122.11832,47.6245
WA13ABGE7P,King,Seattle,WA,98144,2023,AUDI,E-TRON,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.30823 47.581975),-122.30823,47.581975
KM8KRDAF1N,Snohomish,Snohomish,WA,98290,2022,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.091505 47.915555),-122.091505,47.915555
WBY1Z8C34H,Benton,Richland,WA,99352,2017,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,97,0,POINT (-119.2952071 46.272495),-119.2952071,46.272495
7SAXCDE50N,King,Woodinville,WA,98072,2022,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.151665 47.75855),-122.151665,47.75855
1G1RB6E45E,King,Seattle,WA,98119,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,POINT (-122.363815 47.63046),-122.363815,47.63046
5YJ3E1EA4P,Thurston,Tenino,WA,98589,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.85403 46.856085),-122.85403,46.856085
5YJYGDEF7M,San Juan,Friday Harbor,WA,98250,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-123.022255 48.531355),-123.022255,48.531355
7SAYGDEE5P,King,Seattle,WA,98178,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.234385 47.494545),-122.234385,47.494545
5YJXCAE23G,Mason,Shelton,WA,98584,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,POINT (-123.105305 47.211085),-123.105305,47.211085
1N4AZ1BV0N,King,Bellevue,WA,98007,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.147385 47.599975),-122.147385,47.599975
KM8K53AGXN,Thurston,Olympia,WA,98513,2022,HYUNDAI,KONA ELECTRIC,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.817545 46.98876),-122.817545,46.98876
WP1AE2AY5K,King,Bellevue,WA,98008,2019,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,13,0,POINT (-122.11832 47.6245),-122.11832,47.6245
JN1AZ0CPXC,King,Bothell,WA,98011,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,POINT (-122.20578 47.762405),-122.20578,47.762405
JTDKN3DP1C,Clark,Vancouver,WA,98664,2012,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,6,0,POINT (-122.589388 45.6228731),-122.589388,45.6228731
JTJHKCFZ4R,King,Seattle,WA,98103,2024,LEXUS,NX,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,37,0,POINT (-122.34301 47.659185),-122.34301,47.659185
KM8KNDAF8P,Spokane,Medical Lake,WA,99022,2023,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-117.6773 47.573335),-117.6773,47.573335
YV4H600LXN,King,Mercer Island,WA,98040,2022,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,POINT (-122.2377542 47.582905),-122.2377542,47.582905
KNDCT3L12P,Pierce,Spanaway,WA,98387,2023,KIA,NIRO,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.435115 47.1045),-122.435115,47.1045
JTDKARFPXH,Snohomish,Everett,WA,98201,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,POINT (-122.20722 47.979935),-122.20722,47.979935
7SAYGDEE6N,King,Issaquah,WA,98029,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-121.9993659 47.5484866),-121.9993659,47.5484866
1FMCU0E19P,Kitsap,Bremerton,WA,98311,2023,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,37,0,POINT (-122.6466274 47.6341188),-122.6466274,47.6341188
5YJSA1H46F,King,Clyde Hill,WA,98004,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,POINT (-122.201905 47.61385),-122.201905,47.61385
KM8KN4AE4N,Whatcom,Bellingham,WA,98226,2022,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.45493 48.76809),-122.45493,48.76809
KNDCE3LG6N,Lewis,Chehalis,WA,98532,2022,KIA,NIRO,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.96692 46.66113),-122.96692,46.66113
7SAYGDEF7P,Lewis,Morton,WA,98356,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.27838 46.556285),-122.27838,46.556285
WA1E2AFY5L,King,Seattle,WA,98144,2020,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,20,0,POINT (-122.30823 47.581975),-122.30823,47.581975
